tot build ln
88206 4.8950 4.0000
92632 23.0880 4.0000
151850 7.9450 4.0000
379188 27.6920 4.0000
151788 5.2540 4.0000
2120630 42.3630 4.0000
33200 5.4410 4.0000
990524 18.5760 4.0000
162312 8.5930 4.0000
80554 2.5340 4.0000
328634 9.0200 4.0000
110916 10.9630 4.0000
56740 5.3990 4.0000
2344534 18.6670 4.0000
431864 11.9440 4.0000
625386 34.3290 4.0000
138688 12.7700 4.0000
32716 5.5300 4.0000
690370 16.8950 4.0000
2177316 34.1120 4.0000
187386 7.5080 4.0000
337022 18.8050 4.0000
3691050 65.2300 4.0000
3530456 16.7750 4.0000
92384 6.3260 4.0000
518280 21.9310 4.0000
92670 6.9360 4.0000
977198 6.3890 4.0000
192268 5.2030 4.0000
410158 37.8950 4.0000
54728 4.5370 4.0000
44644 6.0390 4.0000
668872 22.5280 4.0000
895878 12.3010 4.0000
55516 21.7700 4.0000
222640 9.2760 4.0000
413954 6.4870 4.0000
42394 5.5430 4.0000
114122 12.4810 4.0000
190626 6.7540 4.0000
206032 3.1770 4.0000
497348 15.7050 4.0000
61702 8.2120 4.0000
1656416 13.1730 4.0000
2691572 27.4140 4.0000
2096010 117.5020 4.0000
1566092 53.7790 4.0000
1049520 45.1380 4.0000
2698746 15.1480 4.0000
1345782 11.7670 4.0000
550216 4.2780 4.0000
31386 4.5170 4.0000
567032 8.4480 4.0000
246858 22.0710 4.0000
402010 36.5780 4.0000
693102 8.4720 4.0000
129420 5.6360 4.0000
45824 6.4480 4.0000
39354 6.1630 4.0000
1025320 17.0300 4.0000
199864 10.6970 4.0000
3301134 25.9800 4.0000
3147022 19.6780 4.0000
1645508 31.6830 4.0000
32576 8.6600 4.0000
177410 10.4130 4.0000
501268 25.4990 4.0000
1469660 22.2790 4.0000
1902420 24.9080 4.0000
1190900 44.4150 4.0000
30330 2.8110 4.0000
46370 4.8720 4.0000
672474 21.0940 4.0000
1274456 13.6270 4.0000
38970 6.6930 4.0000
179448 7.4370 4.0000
264934 5.5220 4.0000
242454 10.5190 4.0000
58222 2.2600 4.0000
2888320 13.6120 4.0000
1430054 10.1400 4.0000
179076 8.5940 4.0000
85386 3.1880 4.0000
550242 11.5280 4.0000
946734 8.3030 4.0000
3310104 17.6990 4.0000
1281092 11.7430 4.0000
1412966 21.6610 4.0000
710268 8.7980 4.0000
196764 10.4390 4.0000
633706 19.8780 4.0000
2472056 21.1910 4.0000
309666 15.4120 4.0000
739160 7.3870 4.0000
79172 6.8820 4.0000
32192 4.7190 4.0000
1528530 14.8660 4.0000
29438 4.8240 4.0000
730294 31.8560 4.0000
1415048 19.1370 4.0000
155988 7.6780 4.0000
1484320 8.9180 4.0000
165270 15.2580 4.0000
36500 6.3470 4.0000
34548 12.0410 4.0000
2494978 95.2690 4.0000
87788 7.4760 4.0000
65298 11.3490 4.0000
37792 6.0420 4.0000
857566 19.5320 4.0000
42288 4.4270 4.0000
